,MJD,RA,DEC,Flux,Flux_err
104,59217.5,22:02:43.198,42:16:40.8,2.3583013e-07,3.7269498e-08
105,59218.5,22:02:43.198,42:16:40.8,2.277354e-07,3.0957608e-08
106,59219.5,22:02:43.198,42:16:40.8,3.4847565e-07,4.5421288e-08
107,59220.5,22:02:43.198,42:16:40.8,2.6784554e-07,1.2194735e-08
108,59221.5,22:02:43.198,42:16:40.8,1.7688423e-07,6.498978e-09
109,59222.5,22:02:43.198,42:16:40.8,2.085974e-07,3.551916e-08
110,59223.5,22:02:43.198,42:16:40.8,2.3031787e-07,3.019792e-08
111,59224.5,22:02:43.198,42:16:40.8,1.8180631e-07,3.3777457e-08
112,59225.5,22:02:43.198,42:16:40.8,2.0807181e-07,3.822601e-08
113,59226.5,22:02:43.198,42:16:40.8,2.9248724e-07,5.5667908e-08
114,59227.5,22:02:43.198,42:16:40.8,2.6188383e-07,3.1212544e-08
115,59228.5,22:02:43.198,42:16:40.8,4.0245234e-07,6.548393e-08
116,59229.5,22:02:43.198,42:16:40.8,2.2157143e-07,4.870468e-08
117,59230.5,22:02:43.198,42:16:40.8,2.8160838e-07,5.6288894e-08
118,59231.5,22:02:43.198,42:16:40.8,5.7111686e-07,8.2590105e-08
119,59232.5,22:02:43.198,42:16:40.8,6.819492e-07,8.869476e-08
120,59233.5,22:02:43.198,42:16:40.8,3.502711e-07,6.239822e-08
121,59234.5,22:02:43.198,42:16:40.8,2.0952936e-07,5.3703182e-08
122,59235.5,22:02:43.198,42:16:40.8,2.9302865e-07,1.4953935e-08
123,59236.5,22:02:43.198,42:16:40.8,2.2365434e-07,5.6927135e-08
124,59237.5,22:02:43.198,42:16:40.8,1.2953522e-07,4.199632e-08
125,59238.5,22:02:43.198,42:16:40.8,1.0994338e-07,3.7178857e-08
126,59239.5,22:02:43.198,42:16:40.8,2.8280687e-07,5.1543665e-08
127,59240.5,22:02:43.198,42:16:40.8,1.9636613e-07,4.8779103e-08
128,59241.5,22:02:43.198,42:16:40.8,1.415415e-07,4.185506e-08
129,59242.5,22:02:43.198,42:16:40.8,1.3705115e-07,3.4728036e-08
130,59243.5,22:02:43.198,42:16:40.8,2.3734076e-07,4.879845e-08
131,59244.5,22:02:43.198,42:16:40.8,2.970185e-07,5.0171835e-08
132,59245.5,22:02:43.198,42:16:40.8,3.8115274e-07,6.110906e-08
133,59246.5,22:02:43.198,42:16:40.8,4.333392e-07,6.2128734e-08
134,59247.5,22:02:43.198,42:16:40.8,4.81e-07,6.8093065e-08
135,59248.5,22:02:43.198,42:16:40.8,2.5403503e-07,5.033847e-08
136,59249.5,22:02:43.198,42:16:40.8,1.7436665e-07,3.9105895e-08
137,59250.5,22:02:43.198,42:16:40.8,2.0479384e-07,4.9336705e-08
138,59251.5,22:02:43.198,42:16:40.8,3.231636e-07,5.299529e-08
139,59252.5,22:02:43.198,42:16:40.8,1.3638588e-07,4.018581e-08
140,59253.5,22:02:43.198,42:16:40.8,1.485621e-07,2.8500406e-08
141,59254.5,22:02:43.198,42:16:40.8,1.9341404e-07,3.1811307e-08
142,59255.5,22:02:43.198,42:16:40.8,2.5853026e-07,1.8496124e-08
143,59256.5,22:02:43.198,42:16:40.8,3.5437438e-07,4.5019007e-08
144,59257.5,22:02:43.198,42:16:40.8,2.6877697e-07,4.0465178e-08
145,59258.5,22:02:43.198,42:16:40.8,1.2086042e-07,2.5848859e-08
146,59259.5,22:02:43.198,42:16:40.8,8.327543e-08,2.1892737e-08
147,59260.5,22:02:43.198,42:16:40.8,8.933272e-08,5.964292e-09
148,59261.5,22:02:43.198,42:16:40.8,7.2567865e-08,2.1537947e-08
149,59262.5,22:02:43.198,42:16:40.8,4.7876373e-08,1.9062538e-08
150,59263.5,22:02:43.198,42:16:40.8,6.4509216e-08,1.4955429e-08
151,59264.5,22:02:43.198,42:16:40.8,7.5996596e-08,2.398069e-08
152,59265.5,22:02:43.198,42:16:40.8,6.942812e-08,2.1720181e-08
153,59266.5,22:02:43.198,42:16:40.8,6.7515224e-08,2.1251122e-08
154,59267.5,22:02:43.198,42:16:40.8,1.15698285e-07,2.768866e-08
155,59268.5,22:02:43.198,42:16:40.8,1.2329025e-07,3.5201086e-08
156,59269.5,22:02:43.198,42:16:40.8,8.252408e-08,3.1361587e-08
157,59270.5,22:02:43.198,42:16:40.8,1.3462426e-07,3.829684e-08
158,59271.5,22:02:43.198,42:16:40.8,2.6322235e-07,5.1707243e-08
159,59272.5,22:02:43.198,42:16:40.8,1.4653646e-07,1.5353645e-08
160,59273.5,22:02:43.198,42:16:40.8,1.1846468e-07,2.6874607e-08
161,59274.5,22:02:43.198,42:16:40.8,1.00710096e-07,3.4312134e-08
162,59275.5,22:02:43.198,42:16:40.8,1.3034682e-07,3.6661433e-08
163,59276.5,22:02:43.198,42:16:40.8,6.305763e-08,2.5712644e-08
164,59277.5,22:02:43.198,42:16:40.8,7.1411606e-08,2.7174782e-08
165,59278.5,22:02:43.198,42:16:40.8,2.1161306e-08,3.2642573e-14
166,59279.5,22:02:43.198,42:16:40.8,1.5142142e-07,3.8197363e-08
167,59280.5,22:02:43.198,42:16:40.8,1.15579e-07,2.779674e-08
168,59281.5,22:02:43.198,42:16:40.8,2.3540207e-07,5.0511698e-08
169,59282.5,22:02:43.198,42:16:40.8,2.5819003e-07,5.4956384e-08
170,59283.5,22:02:43.198,42:16:40.8,1.5818759e-07,4.841775e-08
171,59284.5,22:02:43.198,42:16:40.8,1.8051558e-07,4.4529866e-08
172,59285.5,22:02:43.198,42:16:40.8,1.7928323e-07,4.8164715e-08
173,59286.5,22:02:43.198,42:16:40.8,3.0379312e-07,5.992119e-08
174,59287.5,22:02:43.198,42:16:40.8,1.6144327e-07,3.449017e-08
175,59288.5,22:02:43.198,42:16:40.8,1.2610955e-07,4.0391665e-08
176,59289.5,22:02:43.198,42:16:40.8,1.2213366e-07,4.3160306e-08
177,59290.5,22:02:43.198,42:16:40.8,8.5561986e-08,3.470616e-08
178,59291.5,22:02:43.198,42:16:40.8,1.2406969e-07,3.6330356e-08
179,59292.5,22:02:43.198,42:16:40.8,1.02038946e-07,3.4375987e-08
180,59293.5,22:02:43.198,42:16:40.8,7.942456e-08,2.9563868e-08
181,59294.5,22:02:43.198,42:16:40.8,5.0914043e-08,2.3260176e-08
182,59295.5,22:02:43.198,42:16:40.8,4.0492532e-07,6.190072e-08
183,59296.5,22:02:43.198,42:16:40.8,1.8794779e-07,4.4817014e-08
184,59297.5,22:02:43.198,42:16:40.8,3.206857e-07,2.2189383e-08
185,59298.5,22:02:43.198,42:16:40.8,1.3678907e-07,3.6714656e-08
186,59299.5,22:02:43.198,42:16:40.8,1.9800218e-07,4.4464965e-08
187,59300.5,22:02:43.198,42:16:40.8,1.08883484e-07,3.354734e-08
188,59301.5,22:02:43.198,42:16:40.8,3.6828464e-08,9.780808e-09
189,59302.5,22:02:43.198,42:16:40.8,1.0152427e-07,2.4468045e-08
190,59303.5,22:02:43.198,42:16:40.8,9.720279e-08,1.8173836e-08
191,59304.5,22:02:43.198,42:16:40.8,8.096633e-08,2.9157896e-08
192,59305.5,22:02:43.198,42:16:40.8,7.4944765e-08,2.6694318e-08
193,59306.5,22:02:43.198,42:16:40.8,1.1981791e-07,3.516677e-08
194,59307.5,22:02:43.198,42:16:40.8,5.8302785e-08,2.5404402e-08
195,59308.5,22:02:43.198,42:16:40.8,7.151222e-08,2.7976798e-08
196,59309.5,22:02:43.198,42:16:40.8,6.630198e-08,1.842991e-08
197,59310.5,22:02:43.198,42:16:40.8,6.9769044e-08,2.928299e-08
198,59311.5,22:02:43.198,42:16:40.8,1.07942434e-07,3.400279e-08
199,59312.5,22:02:43.198,42:16:40.8,1.2854083e-07,3.2720962e-08
200,59313.5,22:02:43.198,42:16:40.8,7.336647e-08,1.0949442e-08
201,59314.5,22:02:43.198,42:16:40.8,1.8606809e-07,3.9806338e-08
202,59315.5,22:02:43.198,42:16:40.8,2.3529152e-07,4.484981e-08
203,59316.5,22:02:43.198,42:16:40.8,3.2462455e-07,5.0998278e-08
204,59317.5,22:02:43.198,42:16:40.8,4.839982e-07,3.3794546e-08
205,59318.5,22:02:43.198,42:16:40.8,2.8462284e-07,4.959778e-08
206,59319.5,22:02:43.198,42:16:40.8,3.126211e-07,1.9353864e-08
